Level 1. IO 與 運算,,,
,#,Problem Title,Subs
,1133,PUBG~槍械檔案(讀檔),1709
,1138,密碼學~加解密(讀檔),279
,1143,關於Flash的報導(讀檔),213
,1181,寫入數字序列到文字檔 I (寫檔不同檔無標準輸出),77
,1182,寫入數字序列到文字檔 II (寫檔不同檔有標準輸出),25
,3059,華華買食材 (讀2個檔),221
,1147,書店顧客的訂單(讀檔),723
,1149,學期總成績計算(讀檔),1071
,1183,讀寫文字檔數字序列 I (讀寫不同檔無標準輸出),16
,3099,登革熱每月個案數 (讀CSV檔),360
,3124,成績加總 (讀兩檔寫一檔與標準輸出),503
,3223,Q3水量推估試算-讀檔,169
,1184,讀寫文字檔數字序列 II (讀寫不同檔有標準輸出),283
,3280,寶可夢大師 (讀多個檔),419
,3296,網管的一天(使用者清單),175
,3314,飛向宇宙，浩瀚無垠,258
,3315,行星的殞落,257
,3281,CTF前十名 (二進位讀檔),217
,3233,Q3 Power-Law Transformation (Gamma Correction) (二進位存檔),130
,3285,咩噗有限公司,27
Level 8. 物件,,,
,#,Problem Title,Subs
,1107,我要成為神奇寶貝大師 I - 建立class類別,1431
,1112,叫我「正方形」Square 練習 I - 建立class類別與類別方法,588
,1113,叫我「正方形」Square 練習 II - 屬性私有化,1196
,3107,類別練習II 找出平均最高分,4254
,1097,Point2D類別-重載運算子 I,881
,1114,叫我「正方形」Square 練習 III - 建構函式與解構式,327
,1080,神奇寶貝圖鑑 V - 排序,2783
,1095,類別 Square(正方型) III,992
,3093,我要成為神奇寶貝「對戰」大師 III,2572
,1085,退出巴黎合約,2344
,1108,我要成為神奇寶貝大師 II - class methods 類別方法,1706
,1120,叫我「正方形」Square 練習 IV - 正方型的朋友 I - 函式,705
,1096,eCash程式,3837
,1098,小明的車庫,1459
,1205,遺失的檔案,1792
,1109,我要成為神奇寶貝大師 III - 屬性私有化,890
,1122,叫我「正方形」Square 練習 V - 正方型的速度危機,1521
,1110,我要成為神奇寶貝大師 IV - 建構函式與解構式,1321
,1134,PUBG~最强的裝備,853
,1139,密碼學者~class,371
,1144,Flash~迷宮,877
,1111,我要成為神奇寶貝大師 V - 建構式與解構式之應用I,1640
,1116,我要成為神奇寶貝大師 VI - 寶可夢好朋友 神奇寶貝中心,1209
,1117,我要成為神奇寶貝大師 VII - 寶可夢快速對戰 (運算子重載),930
,1099,Point2D類別-重載運算子 II 朋友運算子,81
,3138,會計師的成長之路III-建立財務系統(class),29
,3210,Q5 Fintech投資機器人II (C++多檔物件讀檔),171
Level 9. 資料結構,,,
,#,Problem Title,Subs
,1164,賓果遊戲,88
,3069,成對的括號字元,4057
Level 10. 導入C++,,,
,#,Problem Title,Subs
,1091,傳遞參考形態 - MySwap函式,1864
,1093,C++重載函式-重載struct傳入函式,1399
Level 11. 進階組合題,,,
,#,Problem Title,Subs
,1300,有多少人在批評公司？,2308
,3029,迴圈(階層加總),2362
,1301,白居易的琵琶密碼,286
,1302,解數獨,354
